Date,S&P 500
11/2015,97271.68657359488
12/2015,93029.0473400996
01/2016,88145.46775061969
02/2016,88285.25910265525
03/2016,90158.85027076148
04/2016,90365.61759920364
05/2016,94041.86464365873
06/2016,94727.26371003037
07/2016,98122.44832841988
08/2016,98092.57942580801
09/2016,97855.9861069339
10/2016,97958.06446732307
11/2016,104556.63726649218
12/2016,107574.05309080001
01/2017,107433.2506890623
02/2017,113364.64866406668
03/2017,112498.78373369783
04/2017,111168.99927821243
05/2017,109809.85361581344
06/2017,108645.9252986847
07/2017,107901.62828036687
08/2017,107335.05397738262
09/2017,109725.4374920121
10/2017,113906.76227661093
11/2017,115309.63716797263
12/2017,115191.7734755323
01/2018,117250.59724179508
02/2018,115175.98376271766
03/2018,111274.0871209013
04/2018,113938.96098767356
05/2018,120472.88945259969
06/2018,121640.63274996902
07/2018,125328.92670893228
08/2018,130356.7781939615
09/2018,131948.15421865127
10/2018,125731.73732401438
11/2018,127830.83777741964
12/2018,115364.79139345147
01/2019,124197.35471944521
02/2019,128993.59461161244
03/2019,133618.6273061136
04/2019,139239.43869351596
05/2019,131174.49245773104
06/2019,137593.57976994404
07/2019,142437.50223542243
08/2019,141641.8466415389
09/2019,146239.98744519314
10/2019,145857.73335791688
11/2019,153519.5739702743
12/2019,154605.55398945123
01/2020,157089.91020089062
02/2020,145143.4264082307
03/2020,127460.09206037801
04/2020,144857.45506297878
05/2020,148213.47863941544
06/2020,150324.24503725188
07/2020,150088.267773964
08/2020,159637.00180717173
09/2020,156614.33628777092
10/2020,152579.8676496115
11/2020,165297.0491800937
12/2020,167581.83983784437
01/2021,167735.2464011327
02/2021,172573.76153343054
03/2021,186215.49190584407
04/2021,190357.6741665408
05/2021,189817.58785578984
06/2021,199430.45127707993
07/2021,204047.60406369797
08/2021,211264.50676924916
09/2021,205874.93450898438
10/2021,219050.23124671952
11/2021,222931.0604849977
12/2021,233682.94372520587
01/2022,224967.2879732875
02/2022,217393.35106870154
03/2022,227455.58219174607
04/2022,218671.88539007842
05/2022,215535.21603835397
06/2022,203950.42410264228
07/2022,226883.90453305707
08/2022,221940.37035095043
09/2022,206708.83301550976
10/2022,219702.89608303516
11/2022,221651.79412058406
12/2022,203202.08379100237
01/2023,212640.77523455222
02/2023,211633.08209762216
03/2023,214238.2464260528
04/2023,215481.94323618317
05/2023,222455.55686589688
06/2023,233160.38739900716
07/2023,237222.9845262198
08/2023,236775.55086954488
09/2023,231318.43529727083
10/2023,225921.39736823112
11/2023,239516.55614766828
12/2023,247701.34848824498
01/2024,256814.10269384514
02/2024,270801.7822068391
03/2024,279902.5665041281
04/2024,270799.4437820734
05/2024,280717.45912530855
06/2024,294783.1947701515
07/2024,294982.11645338393
08/2024,295079.1760101126
09/2024,298447.0495512129
10/2024,304274.32701249747
11/2024,331895.24242956
12/2024,329378.5285170692
01/2025,338420.5488647817
02/2025,333427.489458091
03/2025,302887.1815190756
04/2025,286073.22100085334
05/2025,304991.9458080366
06/2025,310082.49376915547
07/2025,324631.074618826
